id,price,neighbourhood_cleansed,property_type,room_type,bedrooms,bathrooms,accommodates,latitude,longitude,review_scores_rating,availability_365,reviews_per_month,minimum_nights,maximum_nights,price_range
43346862,95.0,Marina,Room in hotel,Private room,1,1,2,37.79759,-122.42398,4.41,0,2.35,1,28,50-99
1009478464532943227,150.0,Downtown/Civic Center,Room in hotel,Private room,1,1,2,37.78729181306807,-122.42071946769757,2.5,365,0.52,2,89,100-149
820381602596057953,104.0,Haight Ashbury,Entire rental unit,Entire home/apt,0,1,2,37.76837614135568,-122.4464140972593,4.75,279,1.26,30,365,100-149
1086531538247416728,150.0,Downtown/Civic Center,Room in hotel,Private room,1,1,2,37.78745556391455,-122.42106816973732,4.75,365,1.26,2,89,100-149
44640480,175.0,Nob Hill,Entire rental unit,Entire home/apt,3,1,5,37.79377,-122.41426,4.0,315,0.09,30,1125,150-199
992412607861032071,150.0,Western Addition,Room in hotel,Private room,1,1,2,37.78913945716461,-122.42272921688604,4.0,365,0.21,2,89,100-149
36201896,140.0,Downtown/Civic Center,Room in boutique hotel,Private room,1,1,2,37.78694,-122.41299,4.6,1,2.42,1,28,100-149
975549563164431387,169.0,Noe Valley,Entire rental unit,Entire home/apt,1,1,2,37.75492862125189,-122.44103400874724,4.0,339,0.3,30,365,150-199
1088689369105133027,150.0,Western Addition,Room in hotel,Private room,1,1,2,37.78940801706158,-122.42229047569596,4.75,365,1.26,2,360,100-149
1003435864316643429,150.0,Downtown/Civic Center,Room in hotel,Private room,1,1,2,37.7884146,-122.4215935,4.75,275,1.26,2,360,100-149
784013303063288578,262.0,Downtown/Civic Center,Entire condo,Entire home/apt,2,1,6,37.78793100568118,-122.41225812604252,4.75,285,1.26,1,365,250-299
15769037,160.05,Downtown/Civic Center,Private room in rental unit,Private room,1,1,2,37.78683,-122.40726,3.0,0,0.06,1,21,150-199
26334895,160.05,Nob Hill,Private room in home,Private room,1,1,2,37.7924,-122.41952,4.75,0,1.26,365,450,150-199
31672520,160.05,Haight Ashbury,Entire rental unit,Entire home/apt,2,1,4,37.76943,-122.44243,4.33,0,0.11,30,182,150-199
